image,status,createdAt,manualContourApplied,gtArea,teacherArea,teacherIoUWithGt
Exactly_like_this_one_single_small_mink_fur_offcut_delpmaspu (1).png,missing_source,2026-03-13T14:44:17.886Z,True,0,0,
FL-SCR-001001_placed.png,ok,2026-03-17T21:42:02.509Z,True,1344325,1582243,0.759657
FL-SCR-001003_placed.png,ok,2026-03-17T22:27:45.742Z,True,1053513,1118742,0.738992
FL-SCR-001004_placed.png,ok,2026-03-17T22:32:21.781Z,True,1097875,1071942,0.760858
FL-SCR-001005_placed.png,ok,2026-03-17T22:36:17.251Z,True,960969,956099,0.661121
FL-SCR-001007_placed.png,ok,2026-03-20T16:10:50.180Z,True,977898,934331,0.494107
FL-SCR-001012_placed.png,ok,2026-03-19T23:10:28.806Z,True,992382,1193151,0.784884
FL-SCR-001024_placed.png,ok,2026-03-20T00:09:41.492Z,True,1339624,1230217,0.671267
FL-SCR-001025_placed.png,ok,2026-03-20T00:39:24.219Z,True,244352,163909,0.133413
FL-SCR-099123_placed.png,missing_source,2026-03-20T18:55:35.460Z,True,0,0,
Fox_fur_offcut_piece_leather_06a75b829a.jpeg,missing_source,2026-03-14T01:58:20.758Z,True,0,0,
Fox_fur_offcut_piece_leather_56277fb16a.jpeg,missing_source,2026-03-14T02:04:44.544Z,True,0,0,
Fox_fur_offcut_piece_leather_939d16c846.jpeg,missing_source,2026-03-14T02:01:39.336Z,True,0,0,
Fox_fur_offcut_piece_leather_c5ce02a9ef.jpeg,missing_source,2026-03-14T02:13:57.933Z,True,0,0,
Fox_fur_offcut_piece_leather_f5e0dc7058.jpeg,missing_source,2026-03-14T12:07:22.330Z,True,0,0,
Gemini_Generated_Image_t6n2yot6n2yot6n2.png,ok,2026-03-12T11:38:48.180Z,True,151947,197238,0.681539
Gemini_Generated_Image_z1y9llz1y9llz1y9.png,ok,2026-03-12T19:18:06.197Z,True,48506,71041,0.569476
One_single_small_mink_fur_offcut_piece_leather_sid_delpmaspu (10).png,missing_source,2026-03-16T01:23:51.193Z,True,0,0,
One_single_small_mink_fur_offcut_piece_leather_sid_delpmaspu (8).png,missing_source,2026-03-21T16:52:36.850Z,True,0,0,
