image,status,createdAt,inventoryTag,manualContourApplied,sourcePath
Exactly_like_this_one_single_small_mink_fur_offcut_delpmaspu (1).png,missing_source,2026-03-13T14:44:17.886Z,,True,
FL-SCR-001000_placed_e89b592df0.png,ok,2026-03-21T21:17:09.197Z,FL-SCR-TEST41,True,..\..\data\training\images\FL-SCR-001000_placed_e89b592df0.png
FL-SCR-001001_placed.png,exists_skipped,2026-03-17T21:42:02.509Z,FL-SCR-001001,True,..\..\ui-lab\assets\uploads\FL-SCR-001001_placed.png
FL-SCR-001003_placed.png,exists_skipped,2026-03-17T22:27:45.742Z,FL-SCR-001003,True,..\..\ui-lab\assets\uploads\FL-SCR-001003_placed.png
FL-SCR-001004_placed.png,exists_skipped,2026-03-17T22:32:21.781Z,FL-SCR-001004,True,..\..\ui-lab\assets\uploads\FL-SCR-001004_placed.png
FL-SCR-001005_placed.png,exists_skipped,2026-03-17T22:36:17.251Z,FL-SCR-001005,True,..\..\ui-lab\assets\uploads\FL-SCR-001005_placed.png
FL-SCR-001007_placed.png,exists_skipped,2026-03-20T16:10:50.180Z,FL-SCR-001007,True,..\..\ui-lab\assets\uploads\FL-SCR-001007_placed.png
FL-SCR-001012_placed.png,exists_skipped,2026-03-19T23:10:28.806Z,FL-SCR-001012,True,..\..\ui-lab\assets\uploads\FL-SCR-001012_placed.png
FL-SCR-001024_placed.png,exists_skipped,2026-03-20T00:09:41.492Z,FL-SCR-001024,True,..\..\ui-lab\assets\uploads\FL-SCR-001024_placed.png
FL-SCR-001025_placed.png,exists_skipped,2026-03-20T00:39:24.219Z,FL-SCR-001025,True,..\..\ui-lab\assets\uploads\FL-SCR-001025_placed.png
FL-SCR-099123_placed.png,missing_source,2026-03-20T18:55:35.460Z,FL-SCR-099123,True,
Fox_fur_offcut_piece_leather_06a75b829a.jpeg,missing_source,2026-03-14T01:58:20.758Z,,True,
Fox_fur_offcut_piece_leather_56277fb16a.jpeg,missing_source,2026-03-14T02:04:44.544Z,,True,
Fox_fur_offcut_piece_leather_939d16c846.jpeg,missing_source,2026-03-14T02:01:39.336Z,,True,
Fox_fur_offcut_piece_leather_c5ce02a9ef.jpeg,missing_source,2026-03-14T02:13:57.933Z,,True,
Fox_fur_offcut_piece_leather_f5e0dc7058.jpeg,missing_source,2026-03-14T12:07:22.330Z,,True,
Gemini_Generated_Image_t6n2yot6n2yot6n2.png,exists_skipped,2026-03-12T11:38:48.180Z,,True,..\..\ui-lab\assets\uploads\Gemini_Generated_Image_t6n2yot6n2yot6n2.png
Gemini_Generated_Image_z1y9llz1y9llz1y9.png,exists_skipped,2026-03-12T19:18:06.197Z,FL-SCR-898989,True,..\..\ui-lab\assets\uploads\Gemini_Generated_Image_z1y9llz1y9llz1y9.png
One_single_small_mink_fur_offcut_piece_leather_sid_delpmaspu (10).png,missing_source,2026-03-16T01:23:51.193Z,,True,
One_single_small_mink_fur_offcut_piece_leather_sid_delpmaspu (8).png,missing_source,2026-03-21T16:52:36.850Z,,True,
